Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g),Meal_type,Region,Type,Categories
Kheer,Monsoon, 1 cup,439,79,9,13,Lunch,North Indian,Vegetarian,Healthy
Kheer,Gee's, 1 portion,223,43,2,7,Lunch,North Indian,Vegetarian,Healthy
Kheer,Hans, 125 g,190,30,5,8,Lunch,North Indian,Vegetarian,Healthy
Rava Payasam/kheer,Rava Payasam/kheer, 1 bowl,350,13,4,10,Lunch,South Indian,Vegetarian,Healthy
Basmati Rice Kheer - Mix,Gits, 20 gm uncooked,80,18,1,1,Lunch,North Indian,Vegetarian,Healthy
Kheer (Rice Pudding),Dars, 175 g,191,23,8,6,Lunch,North Indian,Vegetarian,Healthy
Tilda Humara Kheer Dessert Rice,Tilda, 110 g,153,18,8,2,Lunch,North Indian,Vegetarian,Healthy
Sevai Kheer,Homemade, 1 cup,259,61,12,10,Lunch,South Indian,Vegetarian,Healthy
Moong Dal Pesarattu,Pesarattu Pancake, 1 piece,133,10,5,6,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu,None, 1 dosa,99,17,5,6,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu Onion,Generic, 1 piece,173,29,1,12,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu,Maiyas, 1 piece,190,24,8,5,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu,Rass, 1 dosa,100,19,0,5,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu (Green0,Homemade, 1 Dosa,130,16,5,6,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu,Dharshi, 1 Dosa,52,9,1,3,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu Dosa,Gandhi's, 1 dosa,90,17,0,4,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu Green Gram Crepes ,Pesarattu Green Gram Crepes, 1 cup cooked,105,0,1,0,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu,Gandhi’s, 0.25 cup,90,17,0,4,Breakfast,South Indian,Vegetarian,Healthy
Whole Moong Pesarattu,Homemade, 1 piece,38,3,2,1,Breakfast,South Indian,Vegetarian,Healthy
Dosa,Priya Instant Pesarattu, 1 Dosa,173,29,1,12,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu Dosa,Dharshi, 1 Dosa,67,9,2,3,Breakfast,South Indian,Vegetarian,Healthy
Moong Dal Pesarattu (Pancake),Homemade, 4 tbsp,106,18,1,7,Breakfast,South Indian,Vegetarian,Healthy
kambu pesarattu,thegreenpeppers, 100 g,156,24,1,8,Breakfast,South Indian,Vegetarian,Healthy
Andhra Pesarattu Dosa,Mallika Badrinath, 1 Dosa,81,16,4,0,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu Without Oil,Home Made, 40 grams,60,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu - Mung Dosa,Drm, 100 g,183,26,4,11,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu Dosa,Delight Foods, 20 g,69,15,1,2,Breakfast,South Indian,Vegetarian,Healthy
Pesarattu Without Oil,Homemade, 40 grams,0,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Sweet Pongal,Generic, 4 tablespoon,400,58,18,8,Breakfast,South Indian,Vegetarian,Healthy
Pongal,Pongal, 1 cup,200,23,7,5,Breakfast,South Indian,Vegetarian,Healthy
Sweet Pongal,Homemade, 1 cup cooked,297,0,13,8,Breakfast,South Indian,Vegetarian,Healthy
Sweet Red Rice Pongal,Dharshi, 1 cup cooked,214,46,2,3,Breakfast,South Indian,Vegetarian,Healthy
Pongal,Priya, 100 g,80,8,4,2,Breakfast,South Indian,Vegetarian,Healthy
Pongal,Mtr, 5.29 oz,125,16,5,4,Breakfast,South Indian,Vegetarian,Healthy
pongal,triguni, 1 container,350,18,7,3,Breakfast,South Indian,Vegetarian,Healthy
Sweet Pongal (Jaggery),South Indian Home Made, 150 gms,220,38,3,4,Breakfast,South Indian,Vegetarian,Healthy
Ven Pongal,Homemade, 0.5 cup (cooked),134,24,3,4,Breakfast,South Indian,Vegetarian,Healthy
Spicy Pongal,Homemade, 0.5 cup cooked,121,21,2,3,Breakfast,South Indian,Vegetarian,Healthy
Varagu Pongal,Homemade, 100 g,300,66,9,8,Breakfast,South Indian,Vegetarian,Healthy
Pongal,Aasihirwad, 285 g,87,11,4,2,Breakfast,South Indian,Vegetarian,Healthy
P's Ven Pongal,P's Ven Pongal, 0.75 th cup,250,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Pongal,Bambino, 1 gram,233,29,10,6,Breakfast,South Indian,Vegetarian,Healthy
Pongal,Fitfoodiy's, 350 g,393,72,5,18,Breakfast,South Indian,Vegetarian,Healthy
Sakara Pongal,Homemade, 82.5 g,165,63,6,6,Breakfast,South Indian,Vegetarian,Healthy
Ghee Pongal,GRB, 67 gram,221,42,3,9,Breakfast,South Indian,Vegetarian,Healthy
Instant Pongal,Deep, 50 grams,230,29,10,6,Breakfast,South Indian,Vegetarian,Healthy
simply pongal oats,Kellogs, 100 g,369,67,9,11,Breakfast,South Indian,Vegetarian,Healthy
Quinoa Ven Pongal,Generic, 0.5 cup,177,18,10,4,Breakfast,South Indian,Vegetarian,Healthy
Papad,Sandige, 0.9 oz,110,21,0,3,Lunch/Dinner,North Indian,Vegetarian,Healthy
Sandige (Onion),Anand, 25 grams,110,14,0,3,Breakfast,South Indian,Vegetarian,Healthy
Curd Rice,Curd Rice, 1 cup cooked,300,41,6,17,Lunch,All Indian,Vegetarian,Healthy
Regular,Curd Rice, 1 cup cooked,250,50,7,10,Lunch,All Indian,Vegetarian,Healthy
Curd Rice,Shafina, 1.5 cups; 300 grams,214,18,3,9,Lunch,All Indian,Vegetarian,Healthy
Curd rice,Maiyas, 1 container,270,48,6,5,Lunch,All Indian,Vegetarian,Healthy
Curd(dahi),Curd, 500 gms,185,30,3,15,Lunch,All Indian,Vegetarian,Healthy
Curd Rice,the Daily Plate, 2 tbps,137,22,3,4,Lunch,All Indian,Vegetarian,Healthy
Curd Rice,Sangeetha, 1 cup cooked,0,0,0,0,Lunch,All Indian,Vegetarian,Healthy
Curd Rice,Common, 225 grams,207,38,3,6,Lunch,All Indian,Vegetarian,Healthy
Rice/Curd/Banana Pie,Homemeade, 2 square inches,200,30,3,10,Lunch,All Indian,Vegetarian,Healthy
Cheese curd,Cheese curd, 1 oz,110,0,9,7,Lunch,All Indian,Vegetarian,Healthy
curd,Gowardhan curd, 100 gram,71,6,3,4,Lunch,All Indian,Vegetarian,Healthy
Bean Curd Filled Rice Cakes,Shirakiku, 1.5 inch diameter ball (20 g),51,18,0,1,Lunch,All Indian,Vegetarian,Healthy
Curd,Milky Mist Curd Packet, 100 gm,61,5,3,4,Lunch,All Indian,Vegetarian,Healthy
curd,curd, 100 gram,100,3,4,12,Lunch,All Indian,Vegetarian,Healthy
Plain,Curd, 1 cup,160,14,7,10,Breakfast,All Indian,Vegetarian,Healthy
Curd,Homemade, 100 gms,61,2,4,5,Lunch,All Indian,Vegetarian,Healthy
Curd,Ybi, 100 gram,90,4,4,10,Lunch,All Indian,Vegetarian,Healthy
Curd,Nandini, 100 ml,56,4,3,4,Lunch,All Indian,Vegetarian,Healthy
Curd,Tirumala, 100 g,64,6,3,4,Lunch,All Indian,Vegetarian,Healthy
Curd,American Spoon Lemon Curd, 1 TBSP,60,8,3,1,Lunch,All Indian,Vegetarian,Healthy
Uttapam,Plain Uttapam, 1 pieces,172,24,7,3,Breakfast,South Indian,Vegetarian,Healthy
Vegetable uttapam,Uttapam, 1 piece,125,24,1,3,Breakfast,South Indian,Vegetarian,Healthy
Sooji Uttapam With Veggies,Uttapam, 1 serving,140,44,5,10,Breakfast,South Indian,Eggetarian,Healthy
Uttapam,Scc, 1 piece,210,30,10,3,Breakfast,South Indian,Vegetarian,Healthy
Uttapam,Mtr, 1 pc,230,36,6,8,Breakfast,South Indian,Vegetarian,Healthy
Uttapam,Gits, 1 Uttapam,160,33,0,6,Breakfast,South Indian,Vegetarian,Healthy
Instant Uttapam Mix,Mtr Instant Uttapam Mix, 1 (1/4 cup of wet mix with water),85,15,2,1,Breakfast,South Indian,Vegetarian,Healthy
Onion Uttapam,Homemade, 1 piece (80 grams),170,24,7,3,Breakfast,South Indian,Vegetarian,Healthy
Onion Uttapam,Udupi, 1 piece +1tsp chutney,160,25,5,4,Breakfast,South Indian,Vegetarian,Healthy
Vegetable Uttapam,Homemade, 1 Uttampam,200,30,5,4,Breakfast,South Indian,Vegetarian,Healthy
Sooji Uttapam,Rekha's," 1 (7"")",163,26,4,6,Breakfast,South Indian,Vegetarian,Healthy
Oats Uttapam,Homemade, 2 pieces,362,71,5,12,Breakfast,South Indian,Vegetarian,Healthy
Onian Uttapam,Sankalp, 1 piece,235,0,8,0,Breakfast,South Indian,Vegetarian,Healthy
Onion Uttapam,Generic, 1 nos,170,24,7,3,Breakfast,South Indian,Vegetarian,Healthy
Uttapam,Patidar, 50 g,170,36,1,5,Breakfast,South Indian,Vegetarian,Healthy
Uttapam,Trader Joes, 2.5 oz,130,20,5,3,Breakfast,South Indian,Vegetarian,Healthy
uttapam,udipi, 1 piece,160,25,5,4,Breakfast,South Indian,Vegetarian,Healthy
Rava Uttapam,Generic, 1 piece,163,26,4,6,Breakfast,South Indian,Vegetarian,Healthy
Uttapam Mix,Gits, 0.25 package,160,33,1,6,Breakfast,South Indian,Vegetarian,Healthy
Uttapam 100g,Mtr, 1 pc,360,0,0,0,Breakfast,South Indian,Vegetarian,Healthy
Whole Wheat Upma,Upma, 2 Cups,277,56,6,6,Breakfast,South Indian,Vegetarian,Healthy
Broken Wheat Upma,Home, 1 cup cooked,150,18,3,2,Breakfast,South Indian,Vegetarian,Healthy
Broken Wheat Upma,Dhanss, 1 cup,113,19,4,4,Breakfast,South Indian,Vegetarian,Healthy
Whole Wheat Upma,Vish, 100 grams,107,18,3,2,Breakfast,South Indian,Vegetarian,Healthy
wheat upma,saurbhi, 100 gram,364,71,2,16,Breakfast,South Indian,Vegetarian,Healthy
cracked wheat upma,deep, 0.25 cup,135,29,0,5,Breakfast,South Indian,Vegetarian,Healthy
Cracked Wheat Upma,Gautam-jaanufoods, 1 cup,241,32,12,5,Breakfast,South Indian,Vegetarian,Healthy
Kaappu's Cracked Wheat Upma,Homemade, 1 cup,200,30,8,5,Breakfast,South Indian,Vegetarian,Healthy
Wheat Rawa Upma Mix,Priya, 10 g,50,6,2,1,Breakfast,All Indian,Vegetarian,Healthy
Roasted Rava (Wheat) Upma,Melam, 100 g,360,73,1,13,Breakfast,All Indian,Vegetarian,Healthy
Semiya (Vermicelli) Upma,(Vermicelli) Upma, 1 cup,100,33,4,6,Breakfast,All Indian,Vegetarian,Healthy
Wheat Daliya Upma,Terra greens, 100 gm,354,76,2,8,Breakfast,North Indian,Vegetarian,Healthy
Cracked Wheat Upma,Kala's Homemade, 0.333 cup uncooked,277,54,4,10,Breakfast,South Indian,Vegetarian,Healthy
Upma,Cracked Corn Upma, 100 grams,419,67,11,14,Breakfast,South Indian,Vegetarian,Healthy
Upma,Homemade, 120 g,250,46,4,8,Breakfast,South Indian,Vegetarian,Healthy
Upma,Aachi Rava Upma Mix, 100 g,340,63,0,13,Breakfast,South Indian,Vegetarian,Healthy
Broken Wheat Upma With Veggies,Chetna, 1 bowl cooked,237,31,11,6,Breakfast,South Indian,Vegetarian,Healthy
Upma,Suhas, 100 g,150,22,7,3,Breakfast,South Indian,Vegetarian,Healthy
Upma,Gits, 2 oz / 50 gms Uncooked,180,33,3,5,Breakfast,South Indian,Vegetarian,Healthy
Upma,Seviyan Upma, 100 g,410,69,10,11,Breakfast,South Indian,Vegetarian,Healthy
Indian Prawn Curry,Generic, 100 g,101,2,3,14,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
 Prawn Curry,South Indian, 1 cup,375,16,17,41,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
South Indian Style Prawn Curry,Indian, 3 oz (85g),84,0,1,18,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Prawn Curry - Garlic & Coriander,Indian, 1 serving,206,5,8,30,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Prawn Coco Curry,Indian Restaurant, 1 serving,240,9,11,25,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Authentic Indian - Goan Prawn Curry,ESS, 338 g,431,14,27,33,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Indian Prawn Curry,Homemade (Recipe Taste.com.au), 1 serving,643,89,13,39,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Authentic Indian - Andra Prawn Curry,ESS, 234 g,305,5,21,22,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Prawn Sag,Indian, 1 portion,220,26,5,23,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Black Pepper Prawn Curry (Sanjeev Kapoor),Indian, 1 serving,240,22,11,16,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
South Indian Coconut and Prawn Curry,Bbcgoodfood, 1 Portion,312,19,11,21,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Prawn Curry,Bangladeshi Curry, 100 g,150,20,2,3,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Tandoori Prawn,Indian Restaurant, 1 plate,132,2,4,20,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Prawn Dhansak,Indian Restaurant, 1 plate,440,0,0,0,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Prawn Dupiaza,Indian Takeaway, 371 g,380,0,0,0,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Prawn Curry,Sainsburys Basic Prawn Curry, 400 g,430,75,7,14,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Tofu Indian Curry,Svadesha Indian Curry Tofu, 100 g,137,1,9,12,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Prawn Karahi,Cook Indian, 310 g,223,13,10,16,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Lamb Curry,Indian, 8 serving,190,4,11,18,Lunch/Dinner,South Indian,Non Vegetarian,Healthy
Kofta Curry,Indian, 235 g,256,11,11,27,Lunch/Dinner,North Indian,Non Vegetarian,Healthy
Curry Fish Head,Indian Curry, 200 g,1183,42,77,77,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Fish Curry,Hawker, 1 portion,244,13,4,38,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Fish Curry,Homemade, 1 piece of fish,338,12,14,42,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
South Indian Fish Curry,Epic, 1 plate,766,67,33,54,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Fish Curry,All Recipes, 1 fillet,338,12,14,42,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Goan Fish Curry,Waitrose, 175 grams,313,7,23,17,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
South  Indian Fish Curry,Youngs, 1 box,389,43,15,19,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Fish Curry,Webefit.com, 1 Serving,250,11,8,33,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Fish Head Curry,"South Indian Food, 1 fish head with gravy weighing 1"," 1 fish head with gravy weighing 1,320 grams",1183,42,77,77,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Fish Curry,Homemade (K&m), 0.25 batch,417,16,26,28,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Fish Curry (Alaskan Pollock),Homemade Indian, 1 cup,140,5,7,13,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Fish Curry ( Chepala Pulusu ) Indian Andhra,Homemade, 284 g,230,10,3,37,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
South Indian Fish Curry,Tesco Realfood, 1 portion,233,0,10,0,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Authentic Indian - Meen Moili Fish Curry,ESS, 248 g,277,3,18,27,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Tofu Indian Curry,Svadesha Indian Curry Tofu, 100 g,137,1,9,12,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Lamb Curry,Indian, 8 serving,190,4,11,18,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Kofta Curry,Indian, 235 g,256,11,11,27,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chickpea Curry,Indian, 0.5 Cup,161,24,4,7,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Catfish Curry,Indian, 0.5 cup cooked,81,7,4,6,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Cod Curry,Indian, 4 oz,227,11,8,24,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Prawn Sag,Indian, 1 portion,220,26,5,23,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Prawn Stir Fry,Tamarind Prawn, 1 serving,223,5,10,27,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
South Indian Style Prawn Curry,Indian, 3 oz (85g),84,0,1,18,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
 Prawn Curry,South Indian, 1 cup,375,16,17,41,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Prawn Curry,Generic, 100 g,101,2,3,14,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Tandoori Prawn,Indian Restaurant, 1 plate,132,2,4,20,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Prawn Dhansak,Indian Restaurant, 1 plate,440,0,0,0,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Vanziram Fry,Indian, 100 g,175,0,7,28,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Prawn Dupiaza,Indian Takeaway, 371 g,380,0,0,0,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Tapioca Fry,Indian, 100 gms (1 cup cooked),258,89,0,0,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Kovakkai Fry,Indian, 1 cup,105,0,4,2,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Prawn Karahi,Cook Indian, 310 g,223,13,10,16,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Fry Bread,A'viands, 1 Each,288,7,28,1,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Stir Fry,King Prawn, 1 portion,328,0,0,0,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Fry Bread,Homemade," 1 Piece--10.5 "" diameter",526,85,15,11,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
King Prawn Saag,Indian Restaurant, 1 container,405,17,11,62,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Chicken Fry,Vish, 1 Serving - 120 grams,149,3,8,19,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Prawn Puree,Indian Take Out, 1 portion,209,19,12,6,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Prawn Stir Fry,Bart's, 1 serving,373,0,0,0,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian King Prawn Masala,Sainsbury's, 0.5 pack,218,19,10,13,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
indian squid,Reedda, 100 gram,108,0,3,19,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Tofu Indian Curry,Svadesha Indian Curry Tofu, 100 g,137,1,9,12,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Squid Curry,Home Made, 1 cup,290,14,21,8,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Lamb Curry,Indian, 8 serving,190,4,11,18,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Kofta Curry,Indian, 235 g,256,11,11,27,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chickpea Curry,Indian, 0.5 Cup,161,24,4,7,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Catfish Curry,Indian, 0.5 cup cooked,81,7,4,6,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Cod Curry,Indian, 4 oz,227,11,8,24,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Curry,Brunch, 100 g,212,11,17,4,Lunch/Dinner,All Indian,Vegetarian,Healthy
vegan indian curry,indian curry, 400 grams,632,114,20,17,Lunch/Dinner,All Indian,Vegetarian,Healthy
Marrow Curry,Indian, 1 serving,161,6,14,2,Lunch/Dinner,All Indian,Vegetarian,Healthy
Lamb Curry - Indian,Bukhara Indian, 1 cup,257,4,14,28,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Curry,Valess, 100 g,178,17,7,10,Lunch/Dinner,All Indian,Vegetarian,Healthy
Curry,Indian Food, 100 G,100,15,5,3,Lunch/Dinner,All Indian,Vegetarian,Healthy
curry,vegan Indian curry, 1 container,370,53,15,8,Lunch/Dinner,All Indian,Vegetarian,Healthy
Curry Squid Dried,Maru, 95 grams,287,58,4,6,Lunch/Dinner,All Indian,Vegetarian,Healthy
Dried Indian Squid,Angelina, 227 g,26,0,1,4,Lunch/Dinner,All Indian,Vegetarian,Healthy
Curry Fish Head,Indian Curry, 200 g,1183,42,77,77,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Chicken Curry,Generic Indian Restaurant, 1 cup cooked (about 8 oz),300,11,16,27,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
indian squid,Reedda, 100 gram,108,0,3,19,Lunch/Dinner,All Indian,Vegetarian,Healthy
Stir Fry Squid,Sg, 1 Squid,114,2,7,11,Lunch/Dinner,All Indian,Vegetarian,Healthy
Vanziram Fry,Indian, 100 g,175,0,7,28,Lunch/Dinner,All Indian,Vegetarian,Healthy
Tapioca Fry,Indian, 100 gms (1 cup cooked),258,89,0,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
Kovakkai Fry,Indian, 1 cup,105,0,4,2,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Fry Bread,A'viands, 1 Each,288,7,28,1,Lunch/Dinner,All Indian,Vegetarian,Healthy
Squid Stir Fry,Assi Brand, 6 oz (175g),138,0,2,30,Lunch/Dinner,All Indian,Vegetarian,Healthy
Dried Indian Squid,Angelina, 227 g,26,0,1,4,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Fry Bread,Homemade," 1 Piece--10.5 "" diameter",526,85,15,11,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Chicken Fry,Vish, 1 Serving - 120 grams,149,3,8,19,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Goat Brain Fry,Indian, 1 serving,232,0,19,14,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Promfret Fry,Indian Homemade, 1 fish (300g),230,0,15,24,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Palak Fry,Homemade, 323 g,199,26,9,10,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Fry Bread,Margaret's, 90 Grams,296,0,0,0,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Fry Bread,Food.com, 1 (83 g),153,32,0,4,Lunch/Dinner,All Indian,Vegetarian,Healthy
Stir-Fry Squid,HMart, 100 g,110,8,5,9,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian (Navajo) Fry Bread,Generic," 10.5 "" diameter",269,58,15,11,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Okra Fry (Bhindi),Homemade, 1 cup cooked,182,20,11,4,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Capsicum and Potato Fry,Indian, 1 cup cooked,123,15,7,1,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Cabbage Fry Indian,Home Cooked, 0.5 cup cooked,120,19,4,5,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
South Indian Crab Curry,Homemade, 760 gms,1565,148,78,66,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Tofu Indian Curry,Svadesha Indian Curry Tofu, 100 g,137,1,9,12,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Crab Crab Curry,Homemade, 1 serving,140,14,5,12,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Lamb Curry,Indian, 8 serving,190,4,11,18,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Kofta Curry,Indian, 235 g,256,11,11,27,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chickpea Curry,Indian, 0.5 Cup,161,24,4,7,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Catfish Curry,Indian, 0.5 cup cooked,81,7,4,6,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Cod Curry,Indian, 4 oz,227,11,8,24,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Curry,Brunch, 100 g,212,11,17,4,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
vegan indian curry,indian curry, 400 grams,632,114,20,17,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Marrow Curry,Indian, 1 serving,161,6,14,2,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Lamb Curry - Indian,Bukhara Indian, 1 cup,257,4,14,28,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Curry Crab,Homemade, 0.5 cup,132,18,3,10,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Crab Curry,Homemade, 1 cup,265,35,6,20,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Curry,Valess, 100 g,178,17,7,10,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Curry,Indian Food, 100 G,100,15,5,3,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
curry,vegan Indian curry, 1 container,370,53,15,8,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Curry Fish Head,Indian Curry, 200 g,1183,42,77,77,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
South Indian Style Prawn Curry,Indian, 3 oz (85g),84,0,1,18,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Vanziram Fry,Indian, 100 g,175,0,7,28,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Tapioca Fry,Indian, 100 gms (1 cup cooked),258,89,0,0,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Kovakkai Fry,Indian, 1 cup,105,0,4,2,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Fry Bread,A'viands, 1 Each,288,7,28,1,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Fry Bread,Homemade," 1 Piece--10.5 "" diameter",526,85,15,11,Lunch/Dinner,All Indian,Vegetarian,Healthy
Imitation Crab,Imitation Crab Stir-Fry, 1 (245g),126,23,5,8,Lunch/Dinner,All Indian,Vegetarian,Healthy
Indian Chicken Fry,Vish, 1 Serving - 120 grams,149,3,8,19,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Goat Brain Fry,Indian, 1 serving,232,0,19,14,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Promfret Fry,Indian Homemade, 1 fish (300g),230,0,15,24,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Palak Fry,Homemade, 323 g,199,26,9,10,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
South Indian Crab Curry,Homemade, 760 gms,1565,148,78,66,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Fry Bread,Margaret's, 90 Grams,296,0,0,0,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Indian Fry Bread,Food.com, 1 (83 g),153,32,0,4,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Frozen Fry Crab Nuggets,Watson - Frozen Fry Crab Nuggets, 1 ball (14g),10,1,0,1,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
